time[YYYY-MM-DD hh:mm:ss PST], fluorescence
5/29/16 22:55,8.62
5/29/16 23:05,6.593
5/29/16 23:15,6.215
5/29/16 23:25,5.824
5/29/16 23:35,6.593
5/29/16 23:45,6.545
5/29/16 23:55,5.714
5/30/16 0:05,6.862
5/30/16 0:15,6.63
5/30/16 0:25,6.532
5/30/16 0:35,5.922
5/30/16 0:45,6.105
5/30/16 0:55,6.838
5/30/16 1:05,7.436
5/30/16 1:15,8.596
5/30/16 1:25,7.448
5/30/16 1:35,8.132
5/30/16 1:45,7.973
5/30/16 1:55,7.241
5/30/16 2:05,7.961
5/30/16 2:15,8.51
5/30/16 2:25,8.449
5/30/16 2:35,8.645
5/30/16 2:45,8.742
5/30/16 2:55,9.023
5/30/16 3:05,9.035
5/30/16 3:15,8.669
5/30/16 3:25,8.059
5/30/16 3:35,8.437
5/30/16 3:45,9.744
5/30/16 3:55,8.816
5/30/16 4:05,9.414
5/30/16 4:15,10.891
5/30/16 4:25,9.28
5/30/16 4:35,10.366
5/30/16 4:45,9.78
5/30/16 4:55,9.121
5/30/16 5:05,8.669
5/30/16 5:15,8.73
5/30/16 5:25,7.277
5/30/16 5:35,7.338
5/30/16 5:45,6.996
5/30/16 5:55,6.789
5/30/16 6:05,7.705
5/30/16 6:15,5.775
5/30/16 6:25,5.409
5/30/16 6:35,5.592
5/30/16 6:45,5.067
5/30/16 6:55,5.446
5/30/16 7:05,5.043
5/30/16 7:15,4.701
5/30/16 7:25,5.458
5/30/16 7:35,4.212
5/30/16 7:45,3.724
5/30/16 7:55,3.565
5/30/16 8:05,3.846
5/30/16 8:15,3.529
5/30/16 8:25,3.272
5/30/16 8:35,3.297
5/30/16 8:45,3.077
5/30/16 8:55,2.711
5/30/16 9:05,2.662
5/30/16 9:15,2.418
5/30/16 9:25,2.662
5/30/16 9:35,2.332
5/30/16 9:45,2.332
5/30/16 9:55,2.198
5/30/16 10:05,2.198
5/30/16 10:15,1.893
5/30/16 10:25,2.051
5/30/16 10:35,2.198
5/30/16 10:45,2.173
5/30/16 10:55,2.1
5/30/16 11:05,2.405
5/30/16 11:15,2.698
5/30/16 11:25,2.723
5/30/16 11:35,2.93
5/30/16 11:45,3.065
5/30/16 11:55,2.369
5/30/16 12:05,2.821
5/30/16 12:15,2.601
5/30/16 12:25,2.393
5/30/16 12:35,2.601
5/30/16 12:45,2.259
5/30/16 12:55,2.527
5/30/16 13:05,2.735
5/30/16 13:15,2.796
5/30/16 13:25,2.93
5/30/16 13:35,2.894
5/30/16 13:45,3.053
5/30/16 13:55,3.663
5/30/16 14:05,2.93
5/30/16 14:15,3.565
5/30/16 14:25,3.358
5/30/16 14:35,3.187
5/30/16 14:45,3.358
5/30/16 14:55,3.297
5/30/16 15:05,3.236
5/30/16 15:15,3.26
5/30/16 15:25,3.162
5/30/16 15:35,3.089
5/30/16 15:45,3.199
5/30/16 15:55,3.358
5/30/16 16:05,3.736
5/30/16 16:15,3.907
5/30/16 16:25,3.834
5/30/16 16:35,4.09
5/30/16 16:45,3.614
5/30/16 16:55,4.164
5/30/16 17:05,5.177
5/30/16 17:15,4.994
5/30/16 17:25,4.835
5/30/16 17:35,4.554
5/30/16 17:45,5.519
5/30/16 17:55,5.47
5/30/16 18:05,4.86
5/30/16 18:15,5.568
5/30/16 18:25,5.153
5/30/16 18:35,5.543
5/30/16 18:45,5.714
5/30/16 18:55,6.862
5/30/16 19:05,7.399
5/30/16 19:15,7.631
5/30/16 19:25,7.778
5/30/16 19:35,8.022
5/30/16 19:45,9.035
5/30/16 19:55,9.902
5/30/16 20:05,11.148
5/30/16 20:15,12.198
5/30/16 20:25,11.77
5/30/16 20:35,10.757
5/30/16 20:45,11.795
5/30/16 20:55,9.683
5/30/16 21:05,9.829
5/30/16 21:15,9.328
5/30/16 21:25,8.877
5/30/16 21:35,9.719
5/30/16 21:45,9.573
5/30/16 21:55,9.438
5/30/16 22:05,10.037
5/30/16 22:15,8.803
5/30/16 22:25,9.219
5/30/16 22:35,7.998
5/30/16 22:45,10.501
5/30/16 22:55,9.231
5/30/16 23:05,11.123
5/30/16 23:15,9.646
5/30/16 23:25,8.62
5/30/16 23:35,8.059
5/30/16 23:45,7.082
5/30/16 23:55,5.897
5/31/16 0:05,6.593
5/31/16 0:15,6.447
5/31/16 0:25,5.946
5/31/16 0:35,5.311
5/31/16 0:45,4.957
5/31/16 0:55,5.36
5/31/16 1:05,4.945
5/31/16 1:15,4.689
5/31/16 1:25,4.567
5/31/16 1:35,4.725
5/31/16 1:45,4.298
5/31/16 1:55,4.737
5/31/16 2:05,3.7
5/31/16 2:15,4.017
5/31/16 2:25,4.127
5/31/16 2:35,4.005
5/31/16 2:45,4.322
5/31/16 2:55,4.078
5/31/16 3:05,3.602
5/31/16 3:15,3.871
5/31/16 3:25,4.774
5/31/16 3:35,3.822
5/31/16 3:45,3.431
5/31/16 3:55,3.687
5/31/16 4:05,3.59
5/31/16 4:15,4.127
5/31/16 4:25,3.968
5/31/16 4:35,3.846
5/31/16 4:45,3.541
5/31/16 4:55,4.383
5/31/16 5:05,3.956
5/31/16 5:15,3.602
5/31/16 5:25,4.164
5/31/16 5:35,3.59
5/31/16 5:45,3.211
5/31/16 5:55,4.2
5/31/16 6:05,3.541
5/31/16 6:15,4.127
5/31/16 6:25,3.419
5/31/16 6:35,3.492
5/31/16 6:45,3.175
5/31/16 6:55,2.894
5/31/16 7:05,2.454
5/31/16 7:15,2.137
5/31/16 7:25,2.393
5/31/16 7:35,2.259
5/31/16 7:45,2.552
5/31/16 7:55,2.723
5/31/16 8:05,2.845
5/31/16 8:15,2.454
5/31/16 8:25,1.929
5/31/16 8:35,2.466
5/31/16 8:45,2.247
5/31/16 8:55,2.259
5/31/16 9:05,2.173
5/31/16 9:15,2.344
5/31/16 9:25,2.271
5/31/16 9:35,2.161
5/31/16 9:45,2.076
5/31/16 9:55,1.905
5/31/16 10:05,1.905
5/31/16 10:15,1.966
5/31/16 10:25,2.552
5/31/16 10:35,2.589
5/31/16 10:45,2.503
5/31/16 10:55,2.882
5/31/16 11:05,2.784
5/31/16 11:15,2.796
5/31/16 11:25,2.662
5/31/16 11:35,2.613
5/31/16 11:45,2.93
5/31/16 11:55,2.503
5/31/16 12:05,2.381
5/31/16 12:15,2.527
5/31/16 12:25,2.332
5/31/16 12:35,2.344
5/31/16 12:45,2.308
5/31/16 12:55,2.442
5/31/16 13:05,2.198
5/31/16 13:15,2.491
5/31/16 13:25,2.601
5/31/16 13:35,2.54
5/31/16 13:45,2.369
5/31/16 13:55,2.405
5/31/16 14:05,2.088
5/31/16 14:15,2.186
5/31/16 14:25,2.173
5/31/16 14:35,2.442
5/31/16 14:45,2.527
5/31/16 14:55,2.308
5/31/16 15:05,2.222
5/31/16 15:25,2.515
5/31/16 15:35,3.028
5/31/16 15:45,3.101
5/31/16 15:55,3.187
5/31/16 16:05,3.468
5/31/16 16:15,3.126
5/31/16 16:25,3.48
5/31/16 16:35,3.785
5/31/16 16:45,4.481
5/31/16 16:55,4.347
5/31/16 17:05,4.09
5/31/16 17:15,4.017
5/31/16 17:25,4.676
5/31/16 17:35,5.079
5/31/16 17:45,5.995
5/31/16 17:55,5.263
5/31/16 18:05,5.641
5/31/16 18:15,5.812
5/31/16 18:25,6.508
5/31/16 18:35,7.131
5/31/16 18:45,5.775
5/31/16 18:55,7.021
5/31/16 19:05,7.009
5/31/16 19:15,6.02
5/31/16 19:25,7.143
5/31/16 19:35,5.861
5/31/16 19:45,6.789
5/31/16 19:55,6.813
5/31/16 20:05,7.546
5/31/16 20:15,6.569
5/31/16 20:25,5.995
5/31/16 20:35,3.663
